TrialNumber,BlockNumber,Run,StepNumber,ConditionCode,ConditionName,QuestionResult,ReversalPoints,StairCaseValue
4,1,1,1,330201,Ripple,0,0,0.0359125
5,1,1,2,330201,Ripple,1,0,0.0359125
6,1,1,3,330201,Ripple,0,0,0.02693437
7,1,1,4,330201,Ripple,0,0,0.0359125
8,1,1,5,330201,Ripple,1,1,0.0359125
9,1,1,6,330201,Ripple,0,1,0.02693437
10,1,1,7,330201,Ripple,0,0,0.0359125
11,1,1,8,330201,Ripple,0,0,0.0359125
12,1,1,9,330201,Ripple,1,1,0.0359125
13,1,1,10,330201,Ripple,0,1,0.02693437
14,1,1,11,330201,Ripple,0,0,0.0359125
15,1,1,12,330201,Ripple,1,1,0.0359125
19,2,1,1,2210101,Low Gravity,0,0,4.1616
20,2,1,2,2210101,Low Gravity,0,0,4.1616
21,2,1,3,2210101,Low Gravity,0,0,4.1616
22,2,1,4,2210101,Low Gravity,1,0,4.1616
23,2,1,5,2210101,Low Gravity,0,1,3.74544
24,2,1,6,2210101,Low Gravity,0,0,4.1616
25,2,1,7,2210101,Low Gravity,1,1,4.1616
26,2,1,8,2210101,Low Gravity,0,1,3.74544
27,2,1,9,2210101,Low Gravity,0,0,4.1616
28,2,1,10,2210101,Low Gravity,0,0,4.1616
29,2,1,11,2210101,Low Gravity,0,0,4.1616
30,2,1,12,2210101,Low Gravity,1,1,4.1616
31,2,1,13,2210101,Low Gravity,1,0,3.74544
32,2,1,14,2210101,Low Gravity,0,1,3.370896
36,3,1,1,290201,Delay,1,0,0.2535
37,3,1,2,290201,Delay,0,0,0.190125
38,3,1,3,290201,Delay,1,0,0.2535
39,3,1,4,290201,Delay,1,0,0.190125
40,3,1,5,290201,Delay,1,0,0.1425938
41,3,1,6,290201,Delay,0,1,0.1069454
42,3,1,7,290201,Delay,1,1,0.1425939
43,3,1,8,290201,Delay,0,1,0.1069454
44,3,1,9,290201,Delay,0,0,0.1425939
45,3,1,10,290201,Delay,1,1,0.1901252
46,3,1,11,290201,Delay,0,1,0.1425939
